city_code,date,aqi,co,no2,o3,pm10,pm25,qlty,so2,cond_txt,fl,hum,pcpn,pres,tmp,vis,wind_dir,wind_sc,wind_spd,sug_comf_brf,sug_cw_brf,sug_drsg_brf,sug_flu_brf,sug_sport_brf,sug_trav_brf,sug_uv_brf
CN101140403,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,多云,16,42,0,1007,23,10,东北风,3-4,11,舒适,不宜,舒适,较易发,较适宜,适宜,弱
CN101140404,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,阵雨,21,73,0,1006,21,9,西南风,4-5,23,较舒适,不宜,舒适,少发,较不宜,适宜,中等
CN101140405,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,多云,18,35,0,1008,23,9,西北风,6-7,39,较舒适,不宜,舒适,较易发,较适宜,适宜,中等
CN101140406,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,多云,21,27,0,1007,26,10,东北风,6-7,38,舒适,较适宜,舒适,少发,较适宜,适宜,最弱
CN101140407,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,多云,26,44,0,1007,34,10,南风,7-8,52,很不舒适,不宜,炎热,少发,较适宜,一般,中等
CN101140501,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,多云,18,18,0,1008,25,10,西风,4-5,24,较舒适,较适宜,较舒适,易发,较适宜,适宜,中等
CN101140502,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,多云,18,22,0,1009,20,10,南风,3-4,13,舒适,较适宜,较冷,易发,较适宜,适宜,弱
CN101140503,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,多云,15,18,0,1009,22,10,西南风,3-4,13,较舒适,较适宜,较舒适,易发,较适宜,适宜,中等
CN101140504,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,多云,14,22,0,1008,23,10,西北风,4-5,18,舒适,较适宜,较冷,易发,较适宜,适宜,弱
CN101140505,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,多云,24,32,0,1007,19,10,北风,3-4,16,舒适,较适宜,较冷,易发,较适宜,适宜,弱
CN101140506,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,多云,24,42,0,1007,17,10,西南风,4-5,18,舒适,较适宜,较舒适,易发,较适宜,适宜,弱
CN101140507,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,多云,18,24,0,1008,20,10,南风,3-4,16,舒适,较适宜,较冷,易发,较适宜,适宜,中等
CN101140508,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,多云,19,23,0,1008,25,10,东北风,3-4,16,较舒适,较适宜,舒适,较易发,较适宜,适宜,中等
CN101140509,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,多云,19,16,0,1009,26,10,西北风,4-5,17,较舒适,较适宜,舒适,易发,较适宜,适宜,中等
CN101140510,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,多云,20,20,0,1008,26,10,西风,5-6,29,较舒适,较适宜,热,较易发,较适宜,适宜,中等
CN101140511,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,多云,19,20,0,1008,23,10,南风,3-4,11,舒适,较适宜,较舒适,易发,较适宜,适宜,中等
CN101140601,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,多云,16,21,0,1008,16,10,东北风,4-5,24,舒适,较适宜,较舒适,易发,较不宜,适宜,中等
CN101140602,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,多云,16,13,0,1008,19,10,南风,微风,7,舒适,较适宜,较舒适,较易发,较适宜,适宜,中等
CN101140603,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,多云,13,37,0,1008,15,10,西南风,4-5,17,舒适,较适宜,较冷,极易发,较不宜,适宜,弱
CN101140604,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,多云,13,27,0,1008,14,10,东风,5-6,31,舒适,较适宜,较舒适,易发,较不宜,适宜,中等
CN101140605,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,多云,14,22,0,1009,14,10,南风,5-6,26,舒适,较适宜,较冷,易发,较不宜,适宜,中等
CN101140606,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,多云,18,19,0,1009,19,10,西北风,3-4,13,舒适,较适宜,较冷,易发,较适宜,适宜,中等
CN101140607,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,多云,14,30,0,1009,15,10,南风,4-5,22,舒适,较适宜,冷,极易发,较不宜,适宜,中等
CN101140608,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,多云,18,26,0,1009,18,10,西北风,5-6,26,舒适,较适宜,较冷,极易发,较不宜,适宜,中等
CN101140609,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,多云,15,23,0,1009,22,10,东北风,4-5,21,舒适,较适宜,较冷,极易发,较不宜,适宜,中等
CN101140610,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,多云,13,24,0,1008,14,10,东南风,5-6,33,舒适,较适宜,较冷,易发,较不宜,适宜,中等
CN101140701,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,多云,12,22,0,1005,21,6,西南风,5-6,31,舒适,不宜,较舒适,较易发,较适宜,适宜,弱
CN101140702,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,多云,22,22,0,1000,21,10,西南风,5-6,25,舒适,不宜,较舒适,较易发,较适宜,适宜,弱
CN101140703,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,多云,19,18,0,1007,16,10,东风,4-5,21,舒适,较适宜,较舒适,较易发,较适宜,适宜,中等
CN101140704,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,多云,20,37,0,1003,20,10,南风,5-6,27,舒适,不宜,较舒适,较易发,较适宜,适宜,弱
CN101140705,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,多云,12,45,0,1005,19,6,东南风,6-7,36,舒适,不宜,较舒适,较易发,较适宜,适宜,弱
CN101161205,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,晴,21,17,0,1005,30,10,东北风,4-5,23,较不舒适,较适宜,热,较易发,较适宜,适宜,强
CN101161206,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,阵雨,22,55,5.7,1005,13,10,东南风,4-5,20,舒适,较适宜,较冷,易发,较不宜,适宜,强
CN101161207,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,晴,22,14,0,1005,22,10,西风,6-7,40,舒适,较适宜,较舒适,极易发,较不宜,适宜,强
CN101271812,2016-07-22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,阴,17,36,0,1011,15,10,东北风,4-5,17,舒适,较适宜,较冷,易发,较不宜,适宜,最弱
CN101271813,2016-07-22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,多云,13,60,0,1011,14,5,东风,4-5,19,舒适,不宜,较舒适,易发,较不宜,适宜,中等
CN101271814,2016-07-22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,阵雨,11,66,0,1011,13,10,东南风,4-5,21,舒适,不宜,较冷,易发,较不宜,适宜,最弱
CN101271815,2016-07-22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,阵雨,16,50,0,1012,23,6,西风,4-5,17,舒适,不宜,舒适,较易发,较不宜,适宜,最弱
CN101271816,2016-07-22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,阵雨,13,83,1.3,1013,15,5,北风,3-4,15,舒适,不宜,较舒适,易发,较不宜,适宜,最弱
CN101271817,2016-07-22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,阵雨,14,83,0.6,1012,11,5,东风,4-5,23,较舒适,不宜,较冷,极易发,较不宜,适宜,最弱
CN101271818,2016-07-22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,阵雨,13,80,0,1013,20,8,北风,4-5,17,舒适,不宜,舒适,易发,较不宜,适宜,最弱
